"Stknmec","Stkcd","Accper","AnaAttention","ReportAttention"
"深万科A","000002","2001-12-31","",""
"万科A","000002","2002-12-31","2","3"
"万科A","000002","2003-12-31","5","7"
"万科A","000002","2004-12-31","7","9"
"G 万科A","000002","2005-12-31","13","25"
"万科A","000002","2006-12-31","17","28"
"万科A","000002","2007-12-31","19","34"
"万科A","000002","2008-12-31","49","139"
"万科A","000002","2009-12-31","65","151"
"万科A","000002","2010-12-31","63","140"
"万科A","000002","2011-12-31","59","174"
"万科A","000002","2012-12-31","57","188"
"万科A","000002","2013-12-31","53","198"
"万科A","000002","2014-12-31","38","219"
"万科A","000002","2015-12-31","39","163"
"万科A","000002","2016-12-31","26","92"
"万科A","000002","2017-12-31","42","147"
"万科A","000002","2018-12-31","45","173"
"万科A","000002","2019-12-31","49","155"
"万科A","000002","2020-12-31","45","164"
"万科A","000002","2021-12-31","37","130"
"深振业A","000006","2001-12-31","1","1"
"深振业A","000006","2002-12-31","",""
"深振业A","000006","2003-12-31","",""
"深振业A","000006","2004-12-31","",""
"深振业A","000006","2005-12-31","",""
"深振业A","000006","2006-12-31","3","5"
"深振业A","000006","2007-12-31","2","2"
"深振业A","000006","2008-12-31","8","13"
"深振业A","000006","2009-12-31","12","23"
"深振业A","000006","2010-12-31","13","23"
"深振业A","000006","2011-12-31","6","7"
"深振业A","000006","2012-12-31","5","7"
"深振业A","000006","2013-12-31","8","23"
"深振业A","000006","2014-12-31","6","12"
"深振业A","000006","2015-12-31","5","5"
"深振业A","000006","2016-12-31","2","2"
"深振业A","000006","2017-12-31","4","9"
"深振业A","000006","2018-12-31","",""
"深振业A","000006","2019-12-31","1","1"
"深振业A","000006","2020-12-31","",""
"深振业A","000006","2021-12-31","",""
"ST 达声","000007","2001-12-31","",""
"深达声A","000007","2002-12-31","",""
"深达声A","000007","2003-12-31","",""
"深达声A","000007","2004-12-31","",""
"深达声A","000007","2005-12-31","",""
"深达声A","000007","2006-12-31","",""
"ST 达声","000007","2007-12-31","",""
"ST 达声","000007","2008-12-31","",""
"ST 达声","000007","2009-12-31","",""
"ST 零七","000007","2010-12-31","",""
"ST 零七","000007","2011-12-31","",""
"零七股份","000007","2012-12-31","3","4"
"零七股份","000007","2013-12-31","3","6"
"零七股份","000007","2014-12-31","",""
"零七股份","000007","2015-12-31","",""
"全新好","000007","2016-12-31","",""
"全新好","000007","2017-12-31","",""
"全新好","000007","2018-12-31","",""
"全新好","000007","2019-12-31","",""
"全新好","000007","2020-12-31","",""
"*ST 全新","000007","2021-12-31","",""
"亿安科技","000008","2001-12-31","",""
"ST 亿安","000008","2002-12-31","",""
"*ST 亿安","000008","2003-12-31","",""
"ST 亿安","000008","2004-12-31","",""
"G 宝利来","000008","2005-12-31","",""
"宝利来","000008","2006-12-31","",""
"*ST 宝投","000008","2007-12-31","",""
"ST 宝利来","000008","2008-12-31","",""
"ST 宝利来","000008","2009-12-31","",""
"ST 宝利来","000008","2010-12-31","",""
"ST 宝利来","000008","2011-12-31","",""
"ST 宝利来","000008","2012-12-31","1","1"
"宝利来","000008","2013-12-31","",""
