"Symbol","EndDate","StateTypeCode","Area","ApplyTypeCode","ApplyType","Invention","UtilityModel"
"000008","2016-12-31","1","1","S5204","截至报告期末累计获得","56",""
"000008","2017-12-31","1","1","S5201","已申请","",""
"000008","2017-12-31","1","1","S5203","已授权","",""
"000008","2018-12-31","1","1","S5204","截至报告期末累计获得","",""
"000008","2018-12-31","1","1","S5203","已授权","",""
"000008","2019-12-31","1","1","S5204","截至报告期末累计获得","",""
"000008","2019-12-31","1","1","S5203","已授权","",""
"000008","2020-12-31","1","1","S5203","已授权","",""
"000008","2020-12-31","1","1","S5204","截至报告期末累计获得","",""
"000008","2021-12-31","1","1","S5203","已授权","9",""
"000009","2008-12-31","1","1","S5201","已申请","",""
"000009","2016-12-31","1","1","S5202","已获得","3",""
"000012","2013-12-31","1","1","S5201","已申请","",""
"000012","2013-12-31","1","1","S5203","已授权","",""
"000012","2013-12-31","1","1","S5204","截至报告期末累计获得","44",""
"000012","2014-12-31","1","1","S5201","已申请","",""
"000012","2014-12-31","1","1","S5203","已授权","12",""
"000012","2014-12-31","1","1","S5206","截止报告期末累计已授权","56",""
"000012","2015-12-31","1","1","S5201","已申请","56",""
"000012","2015-12-31","1","1","S5206","截止报告期末累计已授权","85",""
"000012","2015-12-31","1","1","S5205","截止报告期末累计已被受理","",""
"000012","2020-12-31","1","1","S5201","已申请","146",""
"000012","2020-12-31","1","1","S5203","已授权","30",""
"000012","2021-12-31","1","1","S5205","截止报告期末累计已被受理","922","1313"
"000012","2021-12-31","1","1","S5206","截止报告期末累计已授权","304","1313"
"000012","2021-12-31","1","1","S5201","已申请","159",""
"000012","2021-12-31","1","1","S5203","已授权","47",""
"000012","2021-12-31","1","2","S5203","已授权","3",""
"000016","2008-12-31","1","1","S5201","已申请","",""
"000016","2011-12-31","1","1","S5201","已申请","200",""
"000016","2011-12-31","1","1","S5203","已授权","60",""
"000016","2019-12-31","2","1","S5201","已申请","",""
"000019","2007-12-31","1","1","S5204","截至报告期末累计获得","",""
"000019","2007-12-31","1","1","S5201","已申请","3",""
"000019","2012-12-31","1","1","S5201","已申请","6",""
"000019","2013-12-31","1","1","S5201","已申请","9",""
"000019","2013-12-31","1","1","S5202","已获得","4",""
"000019","2014-12-31","1","1","S5201","已申请","",""
"000019","2014-12-31","1","1","S5203","已授权","",""
"000019","2015-12-31","1","1","S5201","已申请","10",""
"000019","2015-12-31","1","1","S5203","已授权","7",""
"000019","2015-12-31","1","1","S5204","截至报告期末累计获得","28",""
"000019","2016-12-31","1","1","S5201","已申请","7",""
"000019","2016-12-31","1","1","S5204","截至报告期末累计获得","41",""
"000019","2016-12-31","1","1","S5203","已授权","3",""
"000019","2017-12-31","1","1","S5201","已申请","2",""
