"Stkcd","Reptdt","Y0501b","Y1001b","Y1801b","ChairmanHoldsharesRatio"
"000002","1999-12-31","","","2",""
"000002","2000-12-31","","","2",""
"000002","2001-12-31","","","1",""
"000002","2002-12-31","","2","2","0.02"
"000002","2003-12-31","2","2","2","0.02"
"000002","2004-12-31","2","2","2","0.02"
"000002","2005-12-31","2","2","2","0.02"
"000002","2006-12-31","2","2","2","0.01"
"000002","2007-12-31","2","2","2","0.01"
"000002","2008-12-31","2","2","2","0.06"
"000002","2009-12-31","2","2","2","0.06"
"000002","2010-12-31","","2","2","0.06"
"000002","2011-12-31","2","2","2","0.06"
"000002","2012-12-31","3","2","2","0.06"
"000002","2013-12-31","3","2","2","0.07"
"000002","2014-12-31","2","2","2","0.07"
"000002","2015-12-31","2","2","2","0.07"
"000002","2016-12-31","2","2","1","0.07"
"000002","2017-12-31","2","1","2","0.07"
"000002","2018-12-31","3","2","2","0.07"
"000002","2019-12-31","3","2","2","0.06"
"000002","2020-12-31","2","2","2","0.06"
"000002","2021-12-31","2","2","2","0.06"
"000006","1999-12-31","","","",""
"000006","2000-12-31","","","",""
"000006","2001-12-31","","","",""
"000006","2002-12-31","","","",""
"000006","2003-12-31","2","2","1","0.00"
"000006","2004-12-31","2","2","1","0.00"
"000006","2005-12-31","2","1","2","0.00"
"000006","2006-12-31","2","2","1","0.53"
"000006","2007-12-31","2","2","1","0.53"
"000006","2008-12-31","2","2","1","0.94"
"000006","2009-12-31","2","2","2","0.94"
"000006","2010-12-31","","2","1","0.84"
"000006","2011-12-31","","2","2","0.67"
"000006","2012-12-31","2","2","1","0.50"
"000006","2013-12-31","2","2","1","0.48"
"000006","2014-12-31","2","2","1","0.36"
"000006","2015-12-31","2","","1",""
"000006","2016-12-31","2","","1",""
"000006","2017-12-31","2","2","1","0.00"
"000006","2018-12-31","2","2","2","0.00"
"000006","2019-12-31","2","2","2","0.00"
"000006","2020-12-31","2","2","2","0.00"
"000006","2021-12-31","2","2","2","0.00"
"000007","1999-12-31","","","",""
"000007","2000-12-31","","","",""
"000007","2001-12-31","","","",""
"000007","2002-12-31","","","3",""
"000007","2003-12-31","3","","2",""
"000007","2004-12-31","3","2","2","0.00"
"000007","2005-12-31","3","2","2","0.00"
"000007","2006-12-31","3","2","2","0.00"
"000007","2007-12-31","3","2","2","0.00"
"000007","2008-12-31","3","2","2","0.00"
"000007","2009-12-31","3","2","1","0.00"
"000007","2010-12-31","","2","1","0.00"
"000007","2011-12-31","","2","1","10.82"
"000007","2012-12-31","3","2","1","10.82"
"000007","2013-12-31","2","2","2","10.82"
"000007","2014-12-31","2","2","1","0.00"
"000007","2015-12-31","2","2","2","0.00"
"000007","2016-12-31","2","2","1","0.00"
"000007","2017-12-31","2","2","1","0.00"
"000007","2018-12-31","2","2","1","0.00"
"000007","2019-12-31","2","2","2","0.00"
"000007","2020-12-31","2","2","2","0.00"
"000007","2021-12-31","3","2","1","0.00"
"000008","1999-12-31","","","",""
"000008","2000-12-31","","","2",""
"000008","2001-12-31","","2","3",""
"000008","2002-12-31","","2","1","0.00"
"000008","2003-12-31","1","2","1","0.00"
"000008","2004-12-31","2","2","1","0.00"
"000008","2005-12-31","2","2","1","0.00"
"000008","2006-12-31","2","2","1","0.00"
"000008","2007-12-31","2","2","1","0.00"
"000008","2008-12-31","2","2","1","0.00"
"000008","2009-12-31","","2","2","0.00"
"000008","2010-12-31","3","2","1","0.00"
"000008","2011-12-31","3","2","1","0.00"
"000008","2012-12-31","3","2","1","0.00"
"000008","2013-12-31","3","2","1","0.00"
"000008","2014-12-31","2","2","1",""
"000008","2015-12-31","2","2","1","9.57"
"000008","2016-12-31","3","2","1","6.86"
"000008","2017-12-31","3","2","1","6.83"
"000008","2018-12-31","2","2","1","7.23"
"000008","2019-12-31","2","2","1","5.51"
"000008","2020-12-31","3","2","1","4.13"
"000008","2021-12-31","3","1","2","4.13"
"000009","1999-12-31","","","",""
"000009","2000-12-31","","","",""
"000009","2001-12-31","","","1",""
"000009","2002-12-31","","","3",""
"000009","2003-12-31","1","","3",""
"000009","2004-12-31","1","1","1","0.02"
"000009","2005-12-31","2","1","1","0.02"
"000009","2006-12-31","2","1","1","0.02"
"000009","2007-12-31","3","1","1","0.01"
"000009","2008-12-31","2","1","1","0.02"
"000009","2009-12-31","","1","2","0.02"
"000009","2010-12-31","","1","1","0.02"
"000009","2011-12-31","","1","1","0.02"
"000009","2012-12-31","3","1","1","0.02"
"000009","2013-12-31","3","1","1","0.02"
"000009","2014-12-31","3","1","1","0.02"
"000009","2015-12-31","3","1","1","0.01"
"000009","2016-12-31","3","1","1","0.01"
"000009","2017-12-31","3","1","1","0.04"
"000009","2018-12-31","3","1","1","0.04"
"000009","2019-12-31","2","1","1","0.04"
"000009","2020-12-31","2","1","1","0.04"
"000009","2021-12-31","3","1","1","0.04"
"000010","1999-12-31","","","",""
"000010","2000-12-31","","","",""
"000010","2001-12-31","","","","0.00"
"000010","2002-12-31","","2","3","0.00"
"000010","2003-12-31","1","","1",""
"000010","2004-12-31","1","","2","0.00"
"000010","2005-12-31","1","","2","0.00"
"000010","2006-12-31","1","","1","0.00"
"000010","2007-12-31","3","","2","0.00"
"000010","2008-12-31","","","2","0.00"
"000010","2009-12-31","3","1","2","0.00"
"000010","2010-12-31","3","1","2","0.00"
"000010","2011-12-31","","1","1","0.00"
"000010","2012-12-31","3","2","2","0.00"
"000010","2013-12-31","3","2","2","0.00"
"000010","2014-12-31","3","2","2","0.00"
"000010","2015-12-31","3","2","2","0.00"
"000010","2016-12-31","3","2","2","0.00"
"000010","2017-12-31","3","2","2","0.00"
"000010","2018-12-31","3","2","2","0.00"
"000010","2019-12-31","2","2","2","0.00"
